record_date,gaz,elect_jour,elect_nuit,eau,comment
2024-07-07,8699.789,0.0,0.0,497.405,npoo
2024-07-14,8707.711,1.496,8.953,498.014,comment du 2024-07-07 au 2024-07-14
2024-07-21,8720.97,10.385,30.09,498.639,dgdd
2024-07-28,8737.731,18.402,48.962,499.166,dgdg
2024-08-04,8753.387,30.607,68.582,499.898,dgg
2024-08-11,8772.548,39.593,88.203,500.37,
2024-08-18,8786.788,50.226,105.483,500.829,
2024-08-25,8799.567,60.114,125.014,501.456,
2024-09-01,8815.086,70.654,147.023,502.101,
2024-09-08,8830.929,83.487,166.725,502.789,
2024-09-15,8846.492,95.01,184.188,503.345,
2024-09-22,8858.419,105.818,205.783,503.942,dgdgd
2024-09-29,8870.056,113.588,225.728,504.474,
